name,mass,radius,orbital_period,star_name,star_distance,star_age
HD 73583 Ab,0.0321,0.2489,6.398042,HD 73583 A,31.6,0.75
HD 73583 Ac,0.0302,0.2436,18.8805,HD 73583 A,31.6,0.75
HD 80606 b,4.1641,1.032,111.436765,HD 80606,58.4,7.63
HD 80653 b,0.01762,0.144,0.719573,HD 80653,109.86,2.67
HD 83342 b,0.4012,0.869,45.522149,HD 83342,79.6682,3.4
HD 88986   b,0.0541,0.2221,146.05,HD 88986,33.37,1.9
HD 89345 b,0.1073,0.642,11.81469,HD 89345,126.6,9.4
HD 95338 b,0.12406,0.3551,55.086,HD 95338,36.9,5.08
HIP 41378 b,0.0217,0.054,15.5712,HIP 41378,116.0,1.8
HIP 41378 c,0.0138,0.2436,31.6978,HIP 41378,116.0,1.8
HIP 41378 d,0.0145,0.3158,1113.4465,HIP 41378,116.0,1.8
HIP 41378 e,0.038,0.437,131.0,HIP 41378,116.0,1.8
HIP 41378 f,0.038,0.821,542.07975,HIP 41378,116.0,1.8
HIP 65 Ab,3.213,2.03,0.9809734,HIP 65 A,61.89,4.1
HIP 67522 b,0.0434,0.897,6.9594738,HIP 67522,127.27,0.017
HIP 94235 Ab,1.192,0.2862,7.712121,HIP 94235 A,58.61,0.1
HIP 97166 b,0.063,0.2444,10.28891,HIP 97166,66.08,3.33
HR 2562 b,11.67,0.89,26097.5,HR 2562,33.63,0.6
HR 8799 b,7.0,1.2,164250.0,HR 8799,39.4,0.06
HR 8799 c,8.3,1.3,82145.0,HR 8799,39.4,0.06
HR 8799 d,8.3,1.2,41054.0,HR 8799,39.4,0.06
HR 8799 e,9.6,1.17,18000.0,HR 8799,39.4,0.06
IRAS 04125+2902 b,0.3,0.955,8.83,IRAS 04125+2902,160.0,0.002
K2-105 b,0.094,0.301,8.267704,K2-105,199.28,0.6
K2-106 b,0.0245,0.14952,0.5713127,K2-106,246.1,5.0
K2-106 c,0.018,0.2534,13.339079,K2-106,246.1,5.0
K2-107 b,0.84,1.426,3.313959,K2-107,696.95,4.25
K2-108 b,0.187,0.476,4.733999,K2-108,484.99,7.8
K2-110 b,0.0525,0.228,13.86387,K2-110,116.84,8.0
K2-111 b,0.01664,0.162,5.3518,K2-111,201.7,12.3
K2-113 b,1.28,1.083,5.817685,K2-113,649.75,5.9
K2-114 b,1.85,0.952,11.391013,K2-114,484.8,9.9
K2-115 b,0.84,1.115,20.273034,K2-115,418.58,10.7
K2-132 b,0.49,1.3,9.1751,K2-132,620.41,8.5
K2-139 Ab,0.381,0.813,28.380619,K2-139 A,153.856,1.8
K2-140 b,0.93,1.093,6.56918,K2-140,341.6,9.8
K2-141 b,0.01598,0.135,0.2803244,K2-141 ,61.0,6.3
K2-141 c,0.02328,0.624,7.7485,K2-141 ,61.0,6.3
K2-146 b,0.01816,0.183,2.6446,K2-146,79.31,5.0
K2-146 c,0.02358,0.195,4.00498,K2-146,79.31,5.0
K2-157 b,0.00359,0.08342,0.3652575,K2-157,290.2,8.8
K2-180 b,0.036,0.206,8.867209,K2-180,204.51,9.5
K2-19 b,0.1019,0.691,7.9193,K2-19,292.14,8.0
K2-19 c,0.0393,0.434,11.906,K2-19,292.14,8.0
K2-19 d,0.031,0.102,2.50856,K2-19,292.14,8.0
K2-229 b,0.00815,0.102,0.58426,K2-229,103.8,5.4
K2-229 c,0.067,0.181,8.32727,K2-229,103.8,5.4
K2-229 d,0.079,0.2364,31.0,K2-229,103.8,5.4
K2-231 b,0.0227,0.223,13.841901,K2-231,295.0,3.0
K2-232 Ab,0.398,1.0,11.168454,K2-232 A,131.21,1.43
K2-233 b,0.0104,0.125,2.46746,K2-233,67.64,0.36
K2-233 d,0.0261,0.236,24.3662,K2-233,67.64,0.36
K2-236 b,0.085,0.514,19.49221,K2-236,182.69,3.99
K2-237 Ab,1.236,1.642,2.1805577,K2-237 A,315.0,1.09
K2-238 b,0.86,1.3,3.20466,K2-238,453.0,5.63
K2-24 b,0.05978,0.50299,20.88257,K2-24,170.5,4.9
K2-24 c,0.0516,0.7075,42.34732,K2-24,170.5,4.9
K2-260 Ab,1.42,1.552,2.6266657,K2-260 A,676.32,1.9
K2-261 b,0.223,0.85,11.63344,K2-261,214.58,8.8
K2-263 b,0.0466,0.215,50.818947,K2-263,163.23,7.0
K2-265 Ab,0.02058,0.153,2.369172,K2-265 A,139.22,9.7
K2-266 Ab,0.0355,0.294,0.658524,K2-266 A,77.5586,8.4
K2-266 Ac,0.00091,0.063,7.814,K2-266 A,77.5586,8.4
K2-266 Ad,0.028,0.261,14.697,K2-266 A,77.5586,8.4
K2-266 Ae,0.04499,0.244,19.482,K2-266 A,77.5586,8.4
